country,year,pop,continent,lifeExp,gdpPercap
Benin,2007,8078314,Africa,56.728,1441.284873
Bolivia,1952,2883315,Americas,40.414,2677.326347
Bolivia,1957,3211738,Americas,41.89,2127.686326
Bolivia,1962,3593918,Americas,43.428,2180.972546
Bolivia,1967,4040665,Americas,45.032,2586.886053
Bolivia,1972,4565872,Americas,46.714,2980.331339
Bolivia,1977,5079716,Americas,50.023,3548.097832
Bolivia,1982,5642224,Americas,53.859,3156.510452
Bolivia,1987,6156369,Americas,57.251,2753.69149
Bolivia,1992,6893451,Americas,59.957,2961.699694
Bolivia,1997,7693188,Americas,62.05,3326.143191
Bolivia,2002,8445134,Americas,63.883,3413.26269
Bolivia,2007,9119152,Americas,65.554,3822.137084
Bosnia and Herzegovina,1952,2791000,Europe,53.82,973.5331948
Bosnia and Herzegovina,1957,3076000,Europe,58.45,1353.989176
Bosnia and Herzegovina,1962,3349000,Europe,61.93,1709.683679
Bosnia and Herzegovina,1967,3585000,Europe,64.79,2172.352423
Bosnia and Herzegovina,1972,3819000,Europe,67.45,2860.16975
Bosnia and Herzegovina,1977,4086000,Europe,69.86,3528.481305
Bosnia and Herzegovina,1982,4172693,Europe,70.69,4126.613157
Bosnia and Herzegovina,1987,4338977,Europe,71.14,4314.114757
Bosnia and Herzegovina,1992,4256013,Europe,72.178,2546.781445
Bosnia and Herzegovina,1997,3607000,Europe,73.244,4766.355904
Bosnia and Herzegovina,2002,4165416,Europe,74.09,6018.975239
Bosnia and Herzegovina,2007,4552198,Europe,74.852,7446.298803
Botswana,1952,442308,Africa,47.622,851.2411407
Botswana,1957,474639,Africa,49.618,918.2325349
Botswana,1962,512764,Africa,51.52,983.6539764
Botswana,1967,553541,Africa,53.298,1214.709294
Botswana,1972,619351,Africa,56.024,2263.611114
Botswana,1977,781472,Africa,59.319,3214.857818
Botswana,1982,970347,Africa,61.484,4551.14215
Botswana,1987,1151184,Africa,63.622,6205.88385
Botswana,1992,1342614,Africa,62.745,7954.111645
Botswana,1997,1536536,Africa,52.556,8647.142313
Botswana,2002,1630347,Africa,46.634,11003.60508
Botswana,2007,1639131,Africa,50.728,12569.85177
Brazil,1952,56602560,Americas,50.917,2108.944355
Brazil,1957,65551171,Americas,53.285,2487.365989
Brazil,1962,76039390,Americas,55.665,3336.585802
Brazil,1967,88049823,Americas,57.632,3429.864357
Brazil,1972,100840058,Americas,59.504,4985.711467
Brazil,1977,114313951,Americas,61.489,6660.118654
Brazil,1982,128962939,Americas,63.336,7030.835878
Brazil,1987,142938076,Americas,65.205,7807.095818
Brazil,1992,155975974,Americas,67.057,6950.283021
Brazil,1997,168546719,Americas,69.388,7957.980824
Brazil,2002,179914212,Americas,71.006,8131.212843
Brazil,2007,190010647,Americas,72.39,9065.800825
Bulgaria,1952,7274900,Europe,59.6,2444.286648
Bulgaria,1957,7651254,Europe,66.61,3008.670727
Bulgaria,1962,8012946,Europe,69.51,4254.337839
Bulgaria,1967,8310226,Europe,70.42,5577.0028
Bulgaria,1972,8576200,Europe,70.9,6597.494398
Bulgaria,1977,8797022,Europe,70.81,7612.240438
Bulgaria,1982,8892098,Europe,71.08,8224.191647
Bulgaria,1987,8971958,Europe,71.34,8239.854824
Bulgaria,1992,8658506,Europe,71.19,6302.623438
Bulgaria,1997,8066057,Europe,70.32,5970.38876
Bulgaria,2002,7661799,Europe,72.14,7696.777725
Bulgaria,2007,7322858,Europe,73.005,10680.79282
Burkina Faso,1952,4469979,Africa,31.975,543.2552413
Burkina Faso,1957,4713416,Africa,34.906,617.1834648
Burkina Faso,1962,4919632,Africa,37.814,722.5120206
Burkina Faso,1967,5127935,Africa,40.697,794.8265597
Burkina Faso,1972,5433886,Africa,43.591,854.7359763
Burkina Faso,1977,5889574,Africa,46.137,743.3870368
Burkina Faso,1982,6634596,Africa,48.122,807.1985855
Burkina Faso,1987,7586551,Africa,49.557,912.0631417
Burkina Faso,1992,8878303,Africa,50.26,931.7527731
Burkina Faso,1997,10352843,Africa,50.324,946.2949618
Burkina Faso,2002,12251209,Africa,50.65,1037.645221
Burkina Faso,2007,14326203,Africa,52.295,1217.032994
Burundi,1952,2445618,Africa,39.031,339.2964587
Burundi,1957,2667518,Africa,40.533,379.5646281
Burundi,1962,2961915,Africa,42.045,355.2032273
Burundi,1967,3330989,Africa,43.548,412.9775136
Burundi,1972,3529983,Africa,44.057,464.0995039
Burundi,1977,3834415,Africa,45.91,556.1032651
Burundi,1982,4580410,Africa,47.471,559.603231
Burundi,1987,5126023,Africa,48.211,621.8188189
Burundi,1992,5809236,Africa,44.736,631.6998778
Burundi,1997,6121610,Africa,45.326,463.1151478
Burundi,2002,7021078,Africa,47.36,446.4035126
Burundi,2007,8390505,Africa,49.58,430.0706916
